S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
1,ACLBSL,"1,135.00",18.00,1.61,"1,139.00","1,162.00","1,117.00","5,850.00","1,117.00"
2,ADBL,286.00,2.50,0.88,285.00,287.00,281.10,"27,911.00",283.50
3,ADBLD83,"1,080.00",-21.90,-1.99,"1,079.90","1,080.00","1,079.90",76.00,"1,101.90"
4,AHL,835.00,6.00,0.72,820.00,844.90,807.50,"17,389.00",829.00
5,AHPC,267.50,2.50,0.94,266.00,268.80,263.50,"147,834.00",265.00
6,AKJCL,197.00,2.00,1.03,196.00,198.00,195.00,"123,350.00",195.00
7,AKPL,237.90,4.00,1.71,235.00,239.00,234.10,"122,132.00",233.90
8,ALBSL,936.00,-4.00,-0.43,928.00,951.80,927.00,"20,158.00",940.00
9,ALICL,744.60,7.60,1.03,740.00,744.90,735.10,"25,101.00",737.00
10,ANLB,"5,098.00",48.00,0.95,"4,949.00","5,109.00","4,949.00",909.00,"5,050.00"
11,API,276.10,2.10,0.77,278.00,278.60,273.00,"163,976.00",274.00
12,AVYAN,"1,080.00",10.00,0.93,"1,055.00","1,110.00","1,055.00","7,484.00","1,070.00"
13,BARUN,461.30,4.30,0.94,466.00,467.00,450.00,"319,781.00",457.00
14,BBC,"5,675.00",15.00,0.27,"5,750.00","6,002.00","5,670.00",795.00,"5,660.00"
15,BEDC,812.00,-24.00,-2.87,850.00,850.00,793.80,"98,142.00",836.00
16,BFC,614.80,27.80,4.74,590.00,629.00,586.00,"63,394.00",587.00
17,BGWT,"1,155.00",35.00,3.13,"1,110.00","1,155.00","1,110.00","52,673.00","1,120.00"
18,BHDC,734.60,2.60,0.36,744.00,744.00,717.40,"23,449.00",732.00
19,BHL,388.00,2.20,0.57,380.30,388.00,380.10,"12,565.00",385.80
20,BHPL,"1,032.00",20.70,2.05,993.00,"1,035.90",993.00,"9,829.00","1,011.30"
21,BNHC,539.90,17.90,3.43,532.00,550.00,525.00,"80,776.00",522.00
22,BNL,"19,559.80","1,045.00",5.64,"18,885.00","20,366.20","18,885.00",70.00,"18,514.80"
23,BNT,"13,689.90",309.90,2.32,"13,600.00","13,950.00","13,460.00",270.00,"13,380.00"
24,BOKD86,"1,029.00",1.80,0.18,"1,029.00","1,029.00","1,029.00",25.00,"1,027.20"
25,BOKD86KA,"1,102.00",-13.00,-1.17,"1,102.00","1,102.00","1,102.00",50.00,"1,115.00"
26,BPCL,397.40,-2.60,-0.65,406.00,406.00,395.00,"10,994.00",400.00
27,C30MF,9.00,0.00,0.00,9.00,9.01,9.00,"3,030.00",9.00
28,CBBL,844.00,-7.00,-0.82,853.00,855.00,841.10,"11,188.00",851.00
29,CFCL,510.00,12.00,2.41,507.90,514.00,490.00,"40,879.00",498.00
30,CGH,892.00,-1.90,-0.21,884.00,899.00,881.50,"31,842.00",893.90
31,CHCL,505.00,-3.40,-0.67,505.00,510.20,498.00,"58,366.00",508.40
32,CHDC,"1,831.00",65.00,3.68,"1,799.00","1,846.00","1,765.00","63,985.00","1,766.00"
33,CHL,464.00,7.00,1.53,447.90,469.00,447.90,"60,904.00",457.00
34,CIT,"1,980.00",-4.00,-0.20,"1,999.00","1,999.90","1,975.00","7,834.00","1,984.00"
35,CITY,905.00,-3.50,-0.39,908.10,914.00,900.00,"17,896.00",908.50
36,CKHL,856.00,40.80,5.00,822.00,870.00,822.00,"38,126.00",815.20
37,CLI,730.00,4.00,0.55,721.60,735.00,721.00,"83,606.00",726.00
38,CMF1,10.51,0.06,0.57,10.50,10.65,10.50,"14,360.00",10.45
39,CMF2,9.40,0.23,2.51,9.20,9.50,9.20,"1,150.00",9.17
40,CORBL,"2,480.00",220.00,9.73,"2,215.00","2,480.00","2,167.80","50,857.00","2,260.00"
41,CYCL,"1,652.10",9.10,0.55,"1,625.00","1,685.00","1,625.00","10,751.00","1,643.00"
42,CZBIL,205.00,0.50,0.24,204.00,207.00,203.00,"56,340.00",204.50
43,DDBL,779.00,-1.00,-0.13,780.00,786.00,771.00,"7,862.00",780.00
44,DHPL,310.00,2.00,0.65,305.00,320.00,305.00,"33,050.00",308.00
45,DLBS,"1,810.10",40.10,2.27,"1,804.00","1,860.00","1,781.00","6,208.00","1,770.00"
46,DOLTI,836.00,-77.00,-8.43,894.80,894.80,821.70,"143,096.00",913.00
47,DORDI,639.90,-1.10,-0.17,651.10,654.90,635.00,"59,897.00",641.00
48,EBL,600.00,5.00,0.84,600.00,603.00,588.00,"37,856.00",595.00
49,EBLD85,"1,177.00",23.00,1.99,"1,175.00","1,177.00","1,175.00",400.00,"1,154.00"
50,EBLD86,"1,027.00",-19.50,-1.86,"1,027.00","1,027.00","1,027.00",70.00,"1,046.50"
